Cod_Loc,IdProvincia,IdDepartamento,categoria,provincia,localidad,nombre,direccion,CP,telefono,Mail,Web,Categoría,Provincia,Localidad,Nombre,Dirección,Teléfono
6588100,6,6588,Espacios de Exhibición Patrimonial,Buenos Aires,9 de Julio,Archivo Y Museo Histórico Gral. Julio De Vedia,Libertad 1191,B6500EVL,425 279,archivoymuseo@yahoo.com.ar,www.portaldel9.com.ar,,,,,,
6077010,6,6077,Espacios de Exhibición Patrimonial,Buenos Aires,Arrecifes,Museo Y Archivo Histórico De Arrecifes,Gerardo Risso y España,B2740FMJ,452 931,museoarrecifes@hotmail.com,,,,,,,
6035010,6,6035,Espacios de Exhibición Patrimonial,Buenos Aires,Avellaneda,Museo Histórico-Sacro  Hno. Rogelio Scortegagna,Calle 11 (Av. San Martín) Nº 830,S3561AKT,481 200,,,,,,,,
6035010,6,6035,Espacios de Exhibición Patrimonial,Buenos Aires,Avellaneda,Museo Municipal De Artes Plásticas De Avellaneda,"Sarmiento 101, 1 º Piso",B1870CBC,4205 9567,,,,,,,,
6049020,6,6049,Espacios de Exhibición Patrimonial,Buenos Aires,Azul,Museo Etnográfico Y Archivo Histórico Enrique Squirru,Bartolomé J. Ronco 654,B7300XAA,434 811,museoazul@yahoo.com,,,,,,,
6056010,6,6056,Espacios de Exhibición Patrimonial,Buenos Aires,Bahía Blanca,Museo De Bellas Artes,Sarmiento 450,B8000HQJ,459 4006,mac@bblanca.com.ar,,,,,,,
6056010,6,6056,Espacios de Exhibición Patrimonial,Buenos Aires,Bahía Blanca,Museo De Ciencias,Castelli 3702,B8003APV,488 3266,,,,,,,,
6056010,6,6056,Espacios de Exhibición Patrimonial,Buenos Aires,Bahía Blanca,Museo Y Parque Estereoscópico El Histórico Café Museo,Italia 19,B8000DKA,451 0675,,,,,,,,
6056010,6,6056,Espacios de Exhibición Patrimonial,Buenos Aires,Bahía Blanca,Museo De Arte Contemporáneo,Sarmiento 450,B8000HQJ,459 4006,mac@bblanca.com.ar,,,,,,,
6056010,6,6056,Espacios de Exhibición Patrimonial,Buenos Aires,Bahía Blanca,Museo Y Archivo Histórico Municipal,Dorrego 116 Sub Suelo,B8000FLD,456 3117,,,,,,,,
6063010,6,6063,Espacios de Exhibición Patrimonial,Buenos Aires,Balcarce,Museo Juan Manuel Fangio,Dardo Rocha y Bartolomé Mitre,B7620BGN,425 540,,,,,,,,
6063010,6,6063,Espacios de Exhibición Patrimonial,Buenos Aires,Balcarce,Museo Histórico Municipal,32 y 35 Emplazado en el Cerro el Triunfo,B7620CFA,421 800,,,,,,,,
6490010,6,6490,Espacios de Exhibición Patrimonial,Buenos Aires,Banfield,Museo De Artes Plásticas Pío Collivadino,Medrano 165,B1828IPC,4202 5223,,,,,,,,
6070010,6,6070,Espacios de Exhibición Patrimonial,Buenos Aires,Baradero,Museo Aeronáutico Baradero Vicente 'Tito' Churín,Jorge Newbery 1450,B2942EXR,481 689,aeroclub_baradero@hotmail.com,,,,,,,
6756010,6,6756,Espacios de Exhibición Patrimonial,Buenos Aires,Beccar,Museo Lucy Mattos,Av. Libertador 17426,B1643CRO,4732 2585,,,,,,,,
6098010,6,6098,Espacios de Exhibición Patrimonial,Buenos Aires,Berisso,Museo De La Soda Y El Sifón,60 N° 768 / 128 (Rotonda),B1924CKS,424 8537,,,,,,,,
6098010,6,6098,Espacios de Exhibición Patrimonial,Buenos Aires,Berisso,Asociación 1871 Museo De Berisso,Av. 32 Esq. Montevideo,1923,461 3166,,,,,,,,
6098010,6,6098,Espacios de Exhibición Patrimonial,Buenos Aires,Berisso,Museo Ornitolólogico Municipal De Berisso,Montevideo 821,B1923HMH,464 5574,,,,,,,,
6658010,6,6658,Espacios de Exhibición Patrimonial,Buenos Aires,Bernal,Museo Municipal Histórico Regional Almirante Brown,25 de Mayo 198,B1876AWD,4252 5508,,,,,,,,
6028010,6,6028,Espacios de Exhibición Patrimonial,Buenos Aires,Burzaco,Museo Claudio León Sempere,Colón 581,B1852BSE,4299 7279,,,,,,,,
6266020,6,6266,Espacios de Exhibición Patrimonial,Buenos Aires,Capilla del Señor,Museo Del Periodismo Bonaerense,Rivadavia 477,B2812DII,,,,,,,,,
6266020,6,6266,Espacios de Exhibición Patrimonial,Buenos Aires,Capilla del Señor,Museo De Arte Sacro Amalia Sosa Palacio De Carol,Bolívar 338,B2812AVH,492 981,,,,,,,,
6007010,6,6007,Espacios de Exhibición Patrimonial,Buenos Aires,Carhue,Museo Regional Dr. Adolfo Alsina,Rivadavia y Laprida,6430,430 967,,,,,,,,
6602030,6,6602,Espacios de Exhibición Patrimonial,Buenos Aires,Carmen de Patagones,Museo Histórico Regional Emma Nozzi,J.J.Biedma 64,B8504BVB,462 729,,,,,,,,
6602030,6,6602,Espacios de Exhibición Patrimonial,Buenos Aires,Carmen de Patagones,Museo Carmen De Patagones De La Prefectura Naval Argentina,Mitre 350,B8504BUF,461 742,,,,,,,,
6840010,6,6840,Espacios de Exhibición Patrimonial,Buenos Aires,Caseros,Palacio San José - Museo Y Monumento Histórico Nacional Justo José De Urquiza,Ruta Provincial 39 Km. 128 (Desvio al Norte 3 Km.),E3262AZR,432 620,,,,,,,,
6210020,6,6210,Espacios de Exhibición Patrimonial,Buenos Aires,Chacabuco,Museo Y Archivo Histórico,Moreno 171,B6740EGC,426 699,,,,,,,,
6357080,6,6357,Espacios de Exhibición Patrimonial,Buenos Aires,Chapadmalal,Museo Unidad Turística Chapadmalal Eva Perón,Ruta Nº 11 Km 33.5 Hotel Nº 5.,5857,469 9291,,,,,,,,
6217010,6,6217,Espacios de Exhibición Patrimonial,Buenos Aires,Chascomus,Museo Pampeano,Avda. Lastra y Muñiz,B7130FRA,430 982,,,,,,,,
6224010,6,6224,Espacios de Exhibición Patrimonial,Buenos Aires,Chivilcoy,Museo De Artes Plásticas Pompeo Boggio,Bolívar 319,B6620HBG,422 113,culturachivilcoy@hotmail.com,,,,,,,
6224010,6,6224,Espacios de Exhibición Patrimonial,Buenos Aires,Chivilcoy,Museo Histórico Municipal F. A. Castagnino,9 de Julio 177,B6620FKC,422 185,,,,,,,,
6224010,6,6224,Espacios de Exhibición Patrimonial,Buenos Aires,Chivilcoy,Museo Arqueológico Municipal,9 de Julio 177,B6620FKC,422 185,,,,,,,,
6840010,6,6840,Espacios de Exhibición Patrimonial,Buenos Aires,Ciudadela,Museo Histórico Del Ejército Argentino,Carlos Pellegrini 4000,B1702BDV,4653 1818,museoejercito@gmail.com,www.dahe.ejercito.mil.ar,,,,,,
6833020,6,6833,Espacios de Exhibición Patrimonial,Buenos Aires,Claromeco,Museo Regional De Claromecó Aníbal Paz,Calle 28 Entre 9 y 11 S/N,7505,480 213,museoclaromeco@gimeil.com,,,,,,,
6119050,6,6119,Espacios de Exhibición Patrimonial,Buenos Aires,Coronel Brandsen,Micro Cosmo Museum 1Er. Complejo Museístico Mundial Del Microcosmos,Azcuénaga 926,B1980EIT,344 5628,,,,,,,,
6189030,6,6189,Espacios de Exhibición Patrimonial,Buenos Aires,Coronel Dorrego,Museo Regional Dr. Carlos Funes Derieul,Maciel 555,B8150CSK,409 228,,,,,,,,
6196010,6,6196,Espacios de Exhibición Patrimonial,Buenos Aires,Coronel Pringles,Museo Antimuseo Pillahuincó,Cabrera 455,B7530DJI,462 680,,,,,,,,
6196010,6,6196,Espacios de Exhibición Patrimonial,Buenos Aires,Coronel Pringles,Museo Agrario Y De Transporte,Sáenz Peña y Stagmann,7530,406 2680,,,,,,,,
6196010,6,6196,Espacios de Exhibición Patrimonial,Buenos Aires,Coronel Pringles,Museo De Ciencias Naturales,Alem 1375,B7530ALE,463 688,,,,,,,,
6196010,6,6196,Espacios de Exhibición Patrimonial,Buenos Aires,Coronel Pringles,Museo Municipal De Bellas Artes,Juan P. Cabrera 455,B7530DJI,462 680,,,,,,,,
6196010,6,6196,Espacios de Exhibición Patrimonial,Buenos Aires,Coronel Pringles,Museo Pringles De Arqueología E Historia,Alvear Entre Colón y España,7530,462 459,,,,,,,,
6196010,6,6196,Espacios de Exhibición Patrimonial,Buenos Aires,Coronel Pringles,Museo Miguel G. Flesia,Stegmann 1032,B7530DBV,466 166 INT 32,,,,,,,,
6238010,6,6238,Espacios de Exhibición Patrimonial,Buenos Aires,Dolores,Museo Histórico Provincial Libres Del Sur,Juan Bautista Selva 390,B7100BIH,442 730,,,,,,,,
6238010,6,6238,Espacios de Exhibición Patrimonial,Buenos Aires,Dolores,Museo Del Colegio Nacional Aristóbulo Del Valle,Crámer 450,B7100ADJ,446 276,,,,,,,,
6392040,6,6392,Espacios de Exhibición Patrimonial,Buenos Aires,Emilio V. Bunge,Museo Comunal Pedro Bargero,Gobernador Arias 496,B6241AIJ,493 535,bargero@servicoopsa.com.ar,,,,,,,
6245010,6,6245,Espacios de Exhibición Patrimonial,Buenos Aires,Ensenada,Museo Y Biblioteca Juan Guarnieri - Casa Huarpe,Leandro N. Alem 1081,B1925BNS,460 2370,,,,,,,,
6245010,6,6245,Espacios de Exhibición Patrimonial,Buenos Aires,Ensenada,Museo Histórico Fuerte De La Ensenada De Barragán,Avda. Almirante Brown y Calle 60 Punta Lara,1925,469 1642,,,,,,,,
6245010,6,6245,Espacios de Exhibición Patrimonial,Buenos Aires,Ensenada,Museo Contraalmirante Rafael E. Chalier,Río Santiago - Escuela Naval Militar,1927,4317 2396,,,,,,,,
